Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id,direction
86,0,0.22203176830540916,2025-06-23 00:40:00+00:00,2252.380386,0.30006,2025-06-23 01:00:00+00:00,2236.88,0.29799505313220215,-4.039633166128556,-0.008077650802096692,Long,Closed,86,LONG
87,0,0.2219302606348981,2025-06-23 06:00:00+00:00,2253.410592,0.30006000000000005,2025-06-23 06:25:00+00:00,2240.99,0.2984060968681201,-3.354971316667983,-0.006708600913153334,Long,Closed,87,LONG
88,0,0.22213534262155246,2025-06-23 06:55:00+00:00,2251.330176,0.30005999999999994,2025-06-23 13:40:00+00:00,2289.08,0.30509134205288596,7.780418746090425,0.015557725946991454,Long,Closed,88,LONG
89,0,0.20164623990256453,2025-06-26 06:00:00+00:00,2480.085918,0.30006,2025-06-26 09:45:00+00:00,2466.39,0.2984029617799716,-3.36019332849392,-0.006719042848418156,Long,Closed,89,LONG
90,0,0.20641965115078956,2025-06-27 22:20:00+00:00,2422.73445,0.30005999999999994,2025-06-28 01:35:00+00:00,2409.52,0.29842336670451025,-3.3262055258540038,-0.0066510808355409,Long,Closed,90,LONG
91,0,0.20589519111191637,2025-06-28 05:10:00+00:00,2428.905684,0.30005999999999994,2025-06-29 09:30:00+00:00,2455.84,0.30338738768417317,4.942198752604622,0.009882421021005044,Long,Closed,91,LONG
92,0,0.19955379770832418,2025-06-29 22:45:00+00:00,2506.0911180000003,0.30006,2025-06-30 06:40:00+00:00,2483.66,0.29737427112975384,-5.073649054873369,-0.01014526905593555,Long,Closed,92,LONG
93,0,0.20129796930608562,2025-06-30 17:10:00+00:00,2484.376776,0.30005999999999994,2025-06-30 19:20:00+00:00,2509.13,0.3030496642349872,4.379664060743711,0.00875757660616619,Long,Closed,93,LONG
94,0,0.2032842605128455,2025-07-01 10:00:00+00:00,2460.1019220000003,0.30006,2025-07-01 11:50:00+00:00,2445.9,0.29832778367302126,-3.4854149953041853,-0.006969436103387692,Long,Closed,94,LONG
95,0,0.19705753685961228,2025-07-02 16:05:00+00:00,2537.837466,0.30006,2025-07-02 16:55:00+00:00,2560.69,0.30276195843662435,3.900442102603943,0.007799324340339818,Long,Closed,95,LONG
96,0,0.19195847554257062,2025-07-02 19:55:00+00:00,2605.250946,0.30005999999999994,2025-07-02 20:15:00+00:00,2587.76,0.29804547880202553,-3.9556408087594117,-0.007909699677583308,Long,Closed,96,LONG
97,0,0.1911424584743009,2025-07-02 22:30:00+00:00,2616.37317,0.30005999999999994,2025-07-02 22:40:00+00:00,2600.17,0.29820173175067377,-3.69537548062768,-0.007389273106634034,Long,Closed,97,LONG
98,0,0.1921960707435297,2025-07-03 09:15:00+00:00,2602.030302,0.30005999999999994,2025-07-03 10:15:00+00:00,2587.67,0.2984040038285457,-3.3584576229189826,-0.006715572131411683,Long,Closed,98,LONG
99,0,0.19218055747736115,2025-07-03 12:05:00+00:00,2602.240344,0.30006,2025-07-03 12:30:00+00:00,2585.5,0.2981296988146303,-3.815358341097417,-0.007629190844026028,Long,Closed,99,LONG
100,0,0.19194005328255878,2025-07-03 13:30:00+00:00,2605.5009959999998,0.30005999999999994,2025-07-03 13:45:00+00:00,2631.45,0.3030483919262335,4.377544818463101,0.008753338969132378,Long,Closed,100,LONG
101,0,0.19235060128797962,2025-07-03 22:00:00+00:00,2599.939884,0.30005999999999994,2025-07-03 23:30:00+00:00,2585.91,0.29844080602595957,-3.2971574294265684,-0.006592996259601217,Long,Closed,101,LONG
102,0,0.19232396587403547,2025-07-04 01:20:00+00:00,2600.2999560000003,0.30005999999999994,2025-07-04 02:15:00+00:00,2584.73,0.2982633145881574,-3.5927990009924144,-0.007184161169750879,Long,Closed,102,LONG
103,0,0.19956096587507482,2025-07-05 20:45:00+00:00,2506.0011,0.30005999999999994,2025-07-06 13:25:00+00:00,2534.9,0.3035202554380363,5.163512141289171,0.0103249592907202,Long,Closed,103,LONG
104,0,0.19255430994311945,2025-07-06 21:35:00+00:00,2597.189334,0.30006,2025-07-06 22:55:00+00:00,2582.31,0.29834095206553,-3.4634808428487798,-0.006925576570383483,Long,Closed,104,LONG
105,0,0.1944337505881621,2025-07-06 23:50:00+00:00,2572.084314,0.30006,2025-07-07 01:00:00+00:00,2554.99,0.29806577304914894,-3.9218373578009262,-0.007842106294342984,Long,Closed,105,LONG
106,0,0.19584495346723907,2025-07-08 00:25:00+00:00,2553.550608,0.30006,2025-07-08 01:00:00+00:00,2536.51,0.2980576097515119,-3.9354346905649327,-0.00786929552202546,Long,Closed,106,LONG
107,0,0.1953758445120879,2025-07-08 06:40:00+00:00,2559.681834,0.30005999999999994,2025-07-08 08:55:00+00:00,2546.18,0.29847724066787273,-3.2364694608799374,-0.006471644592841307,Long,Closed,107,LONG
108,0,0.1949317738791423,2025-07-08 10:30:00+00:00,2565.513,0.30005999999999994,2025-07-08 13:45:00+00:00,2595.62,0.30358128654970756,5.2651696296296056,0.010528233612536705,Long,Closed,108,LONG
109,0,0.19187597137210508,2025-07-08 17:05:00+00:00,2606.37117,0.30005999999999994,2025-07-09 03:55:00+00:00,2591.75,0.298376729282192,-3.4038879256288017,-0.0068064145683439355,Long,Closed,109,LONG
110,0,0.19047546485537195,2025-07-09 11:10:00+00:00,2625.535002,0.30005999999999994,2025-07-09 12:10:00+00:00,2652.42,0.3031325594950114,4.517739932190709,0.009033673129755468,Long,Closed,110,LONG
111,0,0.1809849927244033,2025-07-09 19:40:00+00:00,2763.212532,0.30006,2025-07-09 19:50:00+00:00,2791.99,0.303184973901964,4.605044862704731,0.009208248075794304,Long,Closed,111,LONG
